Image, Widths, Heights
Labels
Lines/j04/j04-012/j04-012-00.png, 1757, 96, Knowing the time of separation and the 
Lines/j04/j04-012/j04-012-01.png, 1913, 83, activity of the lead-210 solution , the ingrowth 
Lines/j04/j04-012/j04-012-02.png, 1750, 57, of the bismuth-210 can be calculated . The 
Lines/j04/j04-012/j04-012-03.png, 1874, 76, absolute activity of the reference standards 
Lines/j04/j04-012/j04-012-04.png, 1848, 74, can be calculated from the known activity 
Lines/j04/j04-012/j04-012-05.png, 1821, 65, of the lead-210 solution and the chemical 
Lines/j04/j04-012/j04-012-06.png, 1829, 94, yield , but this calculation is unnecessary 
Lines/j04/j04-012/j04-012-07.png, 1783, 72, provided the same lead carrier solution is 
Lines/j04/j04-012/j04-012-08.png, 1810, 76, used to prepare the reference standards 
Lines/j04/j04-012/j04-012-09.png, 977, 82, and for the analyses . 
Lines/j04/j04-098/j04-098-00.png, 1823, 129, This loss is acceptably small for an analytical 
Lines/j04/j04-098/j04-098-01.png, 1795, 112, step when no correction for carrier 
Lines/j04/j04-098/j04-098-02.png, 1820, 127, recovery is possible . The completeness 
Lines/j04/j04-098/j04-098-03.png, 1857, 121, of the chemical exchange between the 
Lines/j04/j04-098/j04-098-04.png, 1946, 75, bismuth-210 and the added carrier was 
Lines/j04/j04-098/j04-098-05.png, 1900, 134, also tested . Two samples of precipitated 
Lines/j04/j04-098/j04-098-06.png, 1749, 116, lead chromate ( lead-210 , bismuth-210 ) 
Lines/j04/j04-098/j04-098-07.png, 1693, 82, were counted and dissolved in nitric 
Lines/j04/j04-098/j04-098-08.png, 1674, 90, acid in silica basins . The contents 
Lines/j04/j04-098/j04-098-09.png, 1602, 123, were evaporated to dryness with 
Lines/j04/j04-098/j04-098-10.png, 1848, 119, bismuth carrier and then taken up in 
Lines/j04/j04-019/j04-019-00.png, 1773, 127, The ingrowth of bismuth-210 was followed 
Lines/j04/j04-019/j04-019-01.png, 1730, 122, for ten days and showed no abnormalities . 
Lines/j04/j04-019/j04-019-02.png, 1860, 104, Any impurity in the lead fraction must ha- 
Lines/j04/j04-019/j04-019-03.png, 1890, 95, ve been well below one percent . Some separa- 
Lines/j04/j04-019/j04-019-04.png, 1875, 91, ted lead-210 was used to make reference stan- 
Lines/j04/j04-019/j04-019-05.png, 1834, 115, dards and as a tracer in recovery experiments . 
Lines/j04/j04-019/j04-019-06.png, 1943, 124, There was no significant difference between the- 
Lines/j04/j04-019/j04-019-07.png, 1842, 122, se results and those obtained using the original 
Lines/j04/j04-019/j04-019-08.png, 1820, 110, lead-210 solution supplied by the Radiochemical 
Lines/j04/j04-019/j04-019-09.png, 1826, 93, Centre which we concluded was radiochemi- 
Lines/j04/j04-019/j04-019-10.png, 430, 122, cally pure . 
Lines/j04/j04-024/j04-024-00.png, 1790, 105, Rosenquist ( 4 ) showed that minute quantities of 
Lines/j04/j04-024/j04-024-01.png, 1882, 133, lead can be isolated from large volumes of solu- 
Lines/j04/j04-024/j04-024-02.png, 1774, 126, tion by coprecipitating the lead with a strontium 
Lines/j04/j04-024/j04-024-03.png, 1778, 120, sulphate . Lead and strontium form mixed cry- 
Lines/j04/j04-024/j04-024-04.png, 1772, 92, stals so that the more insoluble lead sulphate 
Lines/j04/j04-024/j04-024-05.png, 1825, 137, is almost completely recovered even if precipitation 
Lines/j04/j04-024/j04-024-06.png, 1804, 132, of the strontium sulphate is incomplete . Using 
Lines/j04/j04-024/j04-024-07.png, 1662, 150, ten milligrams of lead carrier and six 
Lines/j04/j04-024/j04-024-08.png, 1809, 137, hundred milligrams of strontium per liter , 
Lines/j04/j04-024/j04-024-09.png, 1219, 81, more than 95 experiment . 
Lines/j04/j04-094/j04-094-00.png, 1716, 119, If there is sufficient beta activity , the radioche- 
Lines/j04/j04-094/j04-094-01.png, 1668, 108, mical purity of the Bi-210 may be checked 
Lines/j04/j04-094/j04-094-02.png, 1650, 117, by observing the decay curve . The removal of lead 
Lines/j04/j04-094/j04-094-03.png, 1792, 89, chromate from the aluminium counting tray together 
Lines/j04/j04-094/j04-094-04.png, 1688, 88, with the bismuth-210 prior to the second ion 
Lines/j04/j04-094/j04-094-05.png, 1574, 98, exchange separation has been checked by 
Lines/j04/j04-094/j04-094-06.png, 1685, 84, counting the trays . Not more than 0.2 of the 
Lines/j04/j04-094/j04-094-07.png, 1658, 102, bismuth-210 remains on the tray after the 
Lines/j04/j04-094/j04-094-08.png, 408, 65, acid wash . 
